AAB;Antigua y Barbuda;;;;;;;;;x
AAB_ADJ;Antiguan;;;;;;;;;x
AAB_communist;Partido Comunista;;;;;;;;;x
AAB_conservative;Partido Conservador;;;;;;;;;x
AAB_conservative_2;Los Trinitarios;;;;;;;;;x
AAB_conservative_3;El Partido Rojo;;;;;;;;;x
AAB_conservative_4;Horacistas;;;;;;;;;x
AAB_liberal;Partido Liberal;;;;;;;;;x
AAB_liberal_2;Partido Azï¿½l;;;;;;;;;x
AAB_liberal_3;Partido Restaurador;;;;;;;;;x
AAB_liberal_4;Partido Verde;;;;;;;;;x
AAB_liberal_5;Jimenistas;;;;;;;;;x
AAB_populist;Partido Patriota;;;;;;;;;x
AAB_progressive;El Partido Libertario;;;;;;;;;x
AAB_socialist;Partido Del Trabajo;;;;;;;;;x
AAB_traditionalist;Partido De Los Pueblos De;;;;;;;;;x
ABANDON_GAME;Abandonar El Juego;;;;;;;;;x
ABK;Abjasia;;;;;;;;;x
ABK_ADJ;De abjasia;;;;;;;;;x
ABK_communist;Partido Comunista;;;;;;;;;x
ABK_conservative;Partido Conservador;;;;;;;;;x
ABK_liberal;Partido Liberal;;;;;;;;;x
ABK_populist;Partido Patriota;;;;;;;;;x
ABK_progressive;El Partido Libertario;;;;;;;;;x
ABK_socialist;Partido Del Trabajo;;;;;;;;;x
ABK_traditionalist;Partido De Los Pueblos De;;;;;;;;;x
ABU;Abu Dhabi;;;;;;;;;x
ABU_1162;Abu Dhabi;;;;;;;;;x
ABU_ADJ;Abu Dhabian;;;;;;;;;x
ABU_communist;La Facción Comunista;;;;;;;;;x
ABU_conservative;Los Jeques Del Consejo De;;;;;;;;;x
ABU_conservative_2;Tregua Jeques;;;;;;;;;x
ABU_liberal;La Facción Liberal;;;;;;;;;x
ABU_populist;La Facción Nacionalista;;;;;;;;;x
ABU_progressive;La Facción Radical;;;;;;;;;x
ABU_socialist;La Facción Socialista;;;;;;;;;x
ABU_traditionalist;La Facción Fascista;;;;;;;;;x
ABZ;Ambazonia;;;;;;;;;x
ABZ_ADJ;Ambazonian;;;;;;;;;x
ABZ_communist;Partido Comunista;;;;;;;;;x
ABZ_conservative;Partido Conservador;;;;;;;;;x
ABZ_liberal;La justicia y el Partido de la Libertad;;;;;;;;;x
ABZ_populist;Partido Populista;;;;;;;;;x
ABZ_progressive;Partido Progresista;;;;;;;;;x
ABZ_socialist;Partido Social Demócrata;;;;;;;;;x
ABZ_traditionalist;La Hermandad Musulmana;;;;;;;;;x
ACCEPT;Aceptar;;;;;;;;;x
ACTIVATE_GOODS;Activar: ;;;;;;;;;x
ACTIVATE_TECH_EFFECT;Activar la tecnología:§Y$NAME$§!;;;;;;;;;x
ACTUAL_BOUGHT;Real compraron: $VAL$;;;;;;;;;x
